City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,sabang,5.8933,95.3214,27.22,82,69,11.12,ID,1736138408
83,westport,41.1415,-73.3579,-1.66,69,43,1.34,US,1736138277
84,portland,45.5234,-122.6762,11.21,96,100,1.79,US,1736137821
85,colonia,50.9333,6.95,12.2,87,100,7.78,DE,1736138411
86,new norfolk,-42.7826,147.0587,18.73,30,100,1.85,AU,1736138412
87,vorgashor,67.5833,63.95,-16.69,98,99,2.41,RU,1736138415
88,qaqortoq,60.7167,-46.0333,-9.74,75,83,2.49,GL,1736138416
89,cole harbour,44.6724,-63.4751,-7.26,80,100,1.34,CA,1736138417
90,ilulissat,69.2167,-51.1,-13.11,84,100,1.97,GL,1736138418
91,bulawayo,-20.15,28.5833,18.77,96,98,4.53,ZW,1736138419
92,zemio,5.0314,25.1361,20.47,40,7,0.7,CF,1736138420
93,bethel,41.3712,-73.414,-2.81,73,48,0.45,US,1736138421
94,kittila,67.6647,24.8936,-16.88,100,90,1.38,FI,1736138423
95,mossel bay,-34.1831,22.146,18.73,65,53,1.45,ZA,1736138424
96,kuala terengganu,5.3302,103.1408,25.53,88,95,2.24,MY,1736138218
97,enewetak,11.3474,162.3373,27.22,74,22,10.07,MH,1736138426
98,mahibadhoo,3.7833,72.9667,27.2,78,40,3.93,MV,1736138427
99,sabzevar,36.2126,57.6819,3.16,37,0,2.46,IR,1736138428
100,oriximina,-1.7656,-55.8661,23.73,92,95,1.06,BR,1736138429
101,salinopolis,-0.6136,-47.3561,26.0,89,100,4.04,BR,1736138431
102,newman,37.3138,-121.0208,7.25,89,98,0.83,US,1736138432
103,invercargill,-46.4,168.35,22.23,61,89,1.79,NZ,1736138433
104,flin flon,54.7682,-101.865,-15.38,96,100,1.21,CA,1736138434
105,les anglais,18.3054,-74.2197,21.06,76,100,2.55,HT,1736138435
106,vilyuchinsk,52.9306,158.4028,-6.52,76,61,3.0,RU,1736138436
107,albany,42.6001,-73.9662,-5.81,65,60,0.45,US,1736138422
108,ambovombe,-25.1667,46.0833,30.25,51,0,2.57,MG,1736138439
109,ilhabela,-23.7781,-45.3581,22.2,89,75,1.88,BR,1736138286
110,cabedelo,-6.9811,-34.8339,26.15,84,53,4.17,BR,1736138441
111,anadyr,64.75,177.4833,-25.56,91,2,3.45,RU,1736138442
112,longyearbyen,78.2186,15.6401,-15.12,84,55,2.21,SJ,1736138443
113,ancud,-41.8697,-73.8203,11.73,83,100,0.99,CL,1736138444
114,stanley,54.868,-1.6985,1.4,95,100,6.6,GB,1736138416
115,akbarpur,26.4167,82.55,20.93,48,8,2.33,IN,1736138447
116,tsiombe,-25.3,45.4833,31.22,54,1,2.52,MG,1736138448
117,codrington,-38.2667,141.9667,17.24,49,59,8.26,AU,1736138449
118,turpan,42.9333,89.1667,-0.13,28,100,1.51,CN,1736138450
119,temerluh,3.4506,102.4176,29.99,83,81,1.34,MY,1736138451
120,hermanus,-34.4187,19.2345,13.78,59,17,1.98,ZA,1736138452
121,rio hato,8.3833,-80.1667,25.26,88,25,4.52,PA,1736138453
122,port mathurin,-19.6833,63.4167,26.34,77,47,8.1,MU,1736138455
123,tolanaro,-25.0319,46.9987,29.62,53,0,2.69,MG,1736138457
124,blackmans bay,-43.0167,147.3167,18.07,61,100,0.89,AU,1736138458
125,port alfred,-33.5906,26.891,17.88,100,100,0.45,ZA,1736138459
126,lebu,-37.6167,-73.65,12.53,97,100,4.81,CL,1736138460
127,gaalkacyo,6.7697,47.4308,20.67,60,13,7.87,SO,1736138461
128,sovetskaya gavan',48.9723,140.2878,-12.81,67,52,2.38,RU,1736138463
129,kailua-kona,19.6406,-155.9956,24.75,87,1,0.45,US,1736138464
130,punta arenas,-53.15,-70.9167,10.62,71,82,2.61,CL,1736138465
131,badger,64.8,-147.5333,-17.78,85,100,1.35,US,1736138466
132,nabire,-3.3667,135.4833,30.51,63,99,2.56,ID,1736138467
133,linxia chengguanzhen,35.6003,103.2064,-1.84,47,54,1.86,CN,1736138468
134,san luis de la loma,17.2706,-100.8939,23.65,72,89,1.93,MX,1736138470
